Entity,Year,"Expenditure per student as % of GDP (primary), 1974-2014 - World Bank","Teacher-pupil ratio (primary), 1970-2014 - World Bank","Pri - Government expenditure per student, primary (% of GDP per capita)","Sec - Government expenditure per student, secondary (% of GDP per capita)","Tert - Government expenditure per student, tertiary (% of GDP per capita)",Total Government Expenditure on Education,Share of Education in Government Expenditure,Expenditure on primary as % of government expenditure on education
Antigua and Barbuda,1979,,24.50513,,,,,,
Antigua and Barbuda,1999,,,,,,3.23707,12.52143,33.10893
Antigua and Barbuda,2000,,18.74101,,,,,,
Antigua and Barbuda,2002,,,,,,3.44539,8.85597,28.55169
Antigua and Barbuda,2007,,21.50372,,,,,,
Antigua and Barbuda,2008,,17.12889,,,,,,
Antigua and Barbuda,2009,8.13557,16.22446,8.13557,12.46717,15.63166,2.55447,6.91662,41.61324
Antigua and Barbuda,2010,,15.0656,,,,,,
Antigua and Barbuda,2011,,14.51203,,9.79205,,,,
Antigua and Barbuda,2012,,13.84503,,,,,,
Argentina,1970,,19.24521,,,,,,
Argentina,1971,,19.00165,,,,,,
Argentina,1972,,18.77662,,,,,,
Argentina,1973,,18.96393,,,,,,
Argentina,1974,,19.10151,,,,,,
Argentina,1975,,18.22059,,,,,,
Argentina,1976,,18.07052,,,,,,
Argentina,1977,,18.45777,,,,,,
Argentina,1979,,18.51625,,,,,,
Argentina,1980,,20.23058,,,,,,
Argentina,1981,,20.23262,,,,,,
Argentina,1982,,20.32281,,,,,,
Argentina,1984,,20.27509,,,,,,
Argentina,1985,,19.97819,,,,,,
Argentina,1986,,20.00797,,,,,,
Argentina,1987,,19.45186,,,,,,
Argentina,1988,,19.25796,,,,,,
Argentina,1994,,17.53274,,,,,,
Argentina,1996,,16.73337,,,,3.73198,,
Argentina,1997,,16.66847,,,,,,
Argentina,1998,10.96493,19.92697,10.96493,15.13345,20.21922,4.03987,15.62227,35.07048
Argentina,1999,12.86519,21.05865,12.86519,18.21984,17.67884,4.52168,15.88009,36.34503
Argentina,2000,12.76096,19.34257,12.76096,17.60592,17.34825,4.58031,16.22696,35.69129
Argentina,2001,14.3596,17.3271,14.3596,18.88809,16.0873,4.83374,16.35761,37.91883
Argentina,2002,11.21425,16.85345,11.21425,16.9277,13.04688,4.01734,16.44329,35.4339
Argentina,2003,10.91502,,10.91502,14.29277,10.3394,3.53505,14.36279,38.0148
Argentina,2004,9.43882,17.14296,9.43882,13.06857,9.82797,3.15654,15.1602,36.69546
Argentina,2005,9.87104,16.65034,9.87104,16.1007,10.47125,3.47405,15.80628,34.19573
Argentina,2006,10.65731,16.33888,10.65731,16.38335,11.48957,3.65499,16.35148,35.04241
Argentina,2007,11.56669,15.52987,11.56669,17.26721,12.31781,3.89635,15.82749,35.47537
Argentina,2008,12.81408,16.33135,12.81408,19.10376,13.28519,4.33782,16.62552,35.11319
Argentina,2009,13.65341,,13.65341,21.94269,15.45565,4.89,16.6149,32.80265
Argentina,2010,13.09005,,13.09005,19.96997,14.65417,4.60637,15.57046,33.05494
Argentina,2011,14.05367,,14.05367,22.02849,14.89013,4.98632,15.72955,31.96866
Argentina,2012,13.77982,,13.77982,19.63944,15.43793,5.09905,15.06353,31.79894
Argentina,2013,,,,,,5.3441,15.09043,30.03234
Armenia,1991,,17.67076,,,,,,
Armenia,1994,,20.61326,,,,,,
Armenia,1996,,19.0061,,,,1.84843,,
Armenia,1997,,15.96615,,,,,,
Armenia,1998,,15.9995,,,,,,
Armenia,1999,,16.07076,,,,2.23519,,
Armenia,2000,,,,,,2.77273,,
Armenia,2001,,20.3441,,,,2.46944,,
Armenia,2002,,20.34332,,,,2.13504,,
Armenia,2003,,18.8372,,,,2.14504,,
Armenia,2004,,20.26241,,,,2.48673,,
Armenia,2005,,21.19732,,,,2.71203,13.64809,
Armenia,2006,,21.24161,,,,2.71577,13.57852,
Armenia,2007,,19.3076,,,,3.01894,13.46559,
Armenia,2008,,,,,7.54396,3.17273,14.26845,
Armenia,2009,,,,,7.29828,3.84079,13.45122,
Armenia,2010,,,,,7.67896,3.249,12.40051,
Armenia,2011,,,,,7.43885,3.14385,12.59334,
Armenia,2012,16.20086,,16.20086,17.73514,7.24439,3.27524,13.70187,23.06896
Armenia,2013,,,,,5.06762,2.82555,11.13677,20.11078
Armenia,2014,,,,,,2.39756,9.36714,
Australia,1971,,25.11653,,,,,,
Australia,1972,,24.20741,,,,,,
Australia,1973,,23.59209,,,,,,
Australia,1974,,21.64596,,,,,,
Australia,1975,,20.82812,,,,,,
Australia,1976,,20.04911,,,,,,
Australia,1977,,19.46907,,,,,,
Australia,1978,,19.3371,,,,,,
Australia,1979,,18.8736,,,,,,
Australia,1981,,18.72319,,,,,,
Australia,1984,,15.6073,,,,,,
Australia,1986,,16.76363,,,,,,
Australia,1987,,16.59772,,,,,,
Australia,1988,,16.63185,,,,,,
Australia,1989,,16.75533,,,,,,
Australia,1991,,16.59162,,,,,,
Australia,1992,,16.56896,,,,,,
Australia,1993,,16.58239,,,,,,
Australia,1995,,18.14897,,,,,14.11191,
Australia,1996,,18.072,,,,5.22949,,
Australia,1997,,17.88299,,,,,,
Australia,1998,,17.8757,,,,,,
Australia,1999,,17.87578,,,,,,
Australia,2000,16.75547,,16.75547,13.96959,25.97669,4.89425,13.59023,34.06792
Australia,2005,17.92207,,17.92207,15.92906,21.69588,4.91079,13.58513,34.62461
Australia,2006,17.70497,,17.70497,17.78134,20.74437,4.74288,13.1782,34.96822
Australia,2007,17.27916,,17.27916,17.25753,20.14836,4.65902,13.03027,35.14115
Australia,2008,17.63353,,17.63353,17.10953,19.78164,4.63339,12.59972,35.42323
Australia,2009,19.9527,,19.9527,18.51037,20.36503,5.0942,13.41502,35.9633
Australia,2010,22.43024,,22.43024,19.79259,21.42961,5.57355,14.3276,36.80703
Australia,2011,20.0936,,20.0936,17.92667,19.98576,5.10608,13.50202,35.97164
Australia,2012,18.27615,,18.27615,16.54025,,4.90641,13.18429,34.14038
Austria,1971,,21.43599,,,,,,
Austria,1972,,21.53882,,,,,,
Austria,1973,,21.26926,,,,,,
Austria,1974,,20.63155,,,,,,
Austria,1975,,20.27134,,,,,,
Austria,1976,,19.02794,,,,,,
Austria,1978,,16.38821,,,,,,
Austria,1979,,17.08714,,,,,,
Austria,1980,,15.96325,,,,,,
Austria,1981,,14.54667,,,,,,
Austria,1982,,13.96851,,,,,,
Austria,1983,,13.2592,,,,,,
Austria,1984,,12.68624,,,,,,
Austria,1985,,12.16607,,,,,,
Austria,1986,,10.48049,,,,,,
Austria,1987,,10.36293,,,,,,
Austria,1988,,10.52307,,,,,,
Austria,1989,,10.73233,,,,,,
Austria,1990,,10.85945,,,,,,
Austria,1991,,10.81473,,,,,,
Austria,1992,,10.84969,,,,,,
Austria,1993,,11.42039,,,,,,
Austria,1994,,11.90393,,,,,,
Austria,1995,,11.68606,,,,,,
Austria,1996,,12.45371,,,,5.27168,,
Austria,1997,,12.22127,,,,,,
Austria,1998,24.58052,12.14873,24.58052,29.0053,51.74049,6.1199,11.79854,19.40117
Austria,1999,24.40617,13.45715,24.40617,29.35496,50.69157,6.12533,11.84257,19.38196
Austria,2000,22.51919,,22.51919,27.21274,42.94955,5.59957,11.12452,19.6978
Austria,2001,22.48956,,22.48956,27.1113,40.13155,5.58635,10.9504,19.63966
Austria,2002,22.90686,13.26801,22.90686,27.05475,45.10998,5.53269,10.91398,19.79905
Austria,2003,22.69071,13.1816,22.69071,27.98246,44.73475,5.38187,10.55023,19.72309
Austria,2004,22.09407,13.13389,22.09407,26.68563,47.61915,5.32094,9.95772,18.95076
Austria,2005,22.70759,12.40884,22.70759,25.50173,48.41582,5.27148,10.34062,18.99533
Austria,2006,22.70007,12.23292,22.70007,25.83912,46.60553,5.25293,10.46353,18.56855
Austria,2007,22.29696,11.86203,22.29696,25.5541,45.66761,5.17663,10.54307,18.03007
Austria,2008,23.30296,11.62932,23.30296,26.46443,42.09067,5.29698,10.64181,17.83971
Austria,2009,25.29206,11.36314,25.29206,29.47379,40.9065,5.7674,10.66201,17.42743
Austria,2010,25.04465,11.02831,25.04465,28.60009,37.94781,5.7332,10.85873,17.13281
Austria,2011,24.69787,10.89398,24.69787,29.56074,34.99881,5.61861,11.06032,17.09498
Austria,2012,,10.82489,,,,5.45065,10.70825,15.63399
Austria,2013,,10.7043,,,,,,
Aruba,1998,,,,,,4.76316,22.08239,23.06721
Aruba,1999,11.5909,19.23044,11.5909,18.56194,31.48966,4.39554,19.27892,26.9492
Aruba,2000,13.06354,19.05967,13.06354,19.20525,28.73411,4.71468,21.82276,28.2486
Aruba,2001,12.19361,18.94779,12.19361,20.24011,32.89136,4.73949,21.32039,26.13369
Aruba,2002,13.78537,19.06977,13.78537,19.39233,34.78996,4.92427,19.75715,28.99817
Aruba,2003,,18.43017,,,,,,
Aruba,2004,11.41432,18.45109,11.41432,17.74369,28.0293,4.4089,14.89786,26.70415
Aruba,2005,12.2113,18.0776,12.2113,17.61316,25.53493,4.68076,18.88828,26.73218
Aruba,2006,,18.16434,,,,,,
Aruba,2007,,17.41751,,,,4.79918,20.7888,
Aruba,2008,,17.29188,,,,4.91559,19.0362,
Aruba,2009,,17.08591,,,,5.92467,21.56179,
Aruba,2010,,16.82253,,,,6.71249,22.17513,
Aruba,2011,,15.08609,,,,6.03687,21.77598,
Aruba,2012,,14.78869,,,,,,
Azerbaijan,1991,,19.78412,,,,,,
Azerbaijan,1992,,19.81668,,,,,,
Azerbaijan,1993,,19.5759,,,,,,
Azerbaijan,1994,,18.8577,,,,,,
Azerbaijan,1995,,18.98289,,,,,,
Azerbaijan,1996,,20.16771,,,,3.51252,,
Azerbaijan,1997,,20.00307,,,,,,
Azerbaijan,1998,,19.2807,,,,3.38,14.2516,
Azerbaijan,1999,,18.77911,,,,4.21217,17.88669,
Azerbaijan,2000,,18.68574,,,,3.85399,18.498,
Azerbaijan,2001,,17.12015,,,,3.50342,18.77296,
Azerbaijan,2002,,16.1852,,,,3.15449,11.39684,
Azerbaijan,2003,,15.26139,,,,3.28615,11.52329,
Azerbaijan,2004,,14.27144,,,,3.44766,13.3256,
Azerbaijan,2005,,13.44831,,,,2.97462,13.12068,
Azerbaijan,2006,,12.496,,,8.37468,2.55551,9.51087,
Azerbaijan,2007,,11.61559,,,9.55658,2.54928,9.82856,
Azerbaijan,2008,,11.29601,,,13.45055,2.44093,8.28235,
Azerbaijan,2009,,11.08342,,,22.3463,3.22431,9.54358,
Azerbaijan,2010,,11.04222,,,19.55726,2.78062,8.77911,
Azerbaijan,2011,,11.16445,,,18.04833,2.43564,7.30383,
Azerbaijan,2012,,11.92302,,,,2.0963,5.72184,
Azerbaijan,2013,,,,,,2.46218,6.47857,
Bahamas,1971,,45.46252,,,,,,
Bahamas,1972,,42.84154,,,,,,
Bahamas,1975,,26.72873,,,,,,
Bahamas,1976,,24.50309,,,,,,
Bahamas,1977,,22.53211,,,,,,
Bahamas,1980,,26.14286,,,,,,
Bahamas,1981,,26.05393,,,,,,
Bahamas,1982,,28.39878,,,,,,
Bahamas,1983,,21.00579,,,,,,
Bahamas,1984,,19.53355,,,,,,
Bahamas,1985,,21.0852,,,,,,
Bahamas,1986,,18.5897,,,,,,
Bahamas,1994,,21.08982,,,,,,
Bahamas,1995,,22.34007,,,,,,
Bahamas,1999,,14.0399,,,,,,
Bahamas,2000,,,,,,2.84999,19.49561,
Bahamas,2002,,16.83243,,,,,,
Bahamas,2004,,16.77674,,,,,,
Bahamas,2006,,15.38373,,,,,,
Bahamas,2007,,15.33967,,,,,,
Bahamas,2008,,15.78783,,,,,,
Bahamas,2009,,12.99478,,,,,,
Bahamas,2010,,14.1453,,,,,,
Bahrain,1973,,21.33158,,,,,,
Bahrain,1974,,24.16193,,,,,,
Bahrain,1975,,22.94624,,,,,,
Bahrain,1976,,21.94569,,,,,,
Bahrain,1977,,22.73333,,,,,,
Bahrain,1978,,20.72752,,,,,,
Bahrain,1979,,20.39446,,,,,,
Bahrain,1980,,19.63372,,,,,,
Bahrain,1981,,18.80132,,,,,,
Bahrain,1982,,19.38576,,,,,,
Bahrain,1983,,18.35417,,,,,,
Bahrain,1984,,18.41065,,,,,,
Bahrain,1985,,19.18949,,,,,,
Bahrain,1986,,20.07353,,,,,,
Bahrain,1987,,20.12663,,,,,,
Bahrain,1988,,20.99238,,,,,,
Bahrain,1989,,21.92193,,,,,,
Bahrain,1990,,20.92187,,,,,,
Bahrain,1991,,21.53849,,,,,,
Bahrain,1992,,21.6188,,,,,,
Bahrain,1993,,20.80254,,,,,,
Bahrain,1994,,20.82487,,,,,,
Bahrain,1995,,20.45503,,,,,,
Bahrain,2006,,,,,,2.87436,11.91866,
Bahrain,2007,,,,,,2.575,11.02673,
Bahrain,2008,,,,,,2.49678,10.55867,
Bahrain,2011,,12.1159,,,,,,
Bahrain,2012,,11.76839,,,,2.6447,8.94804,
Bahrain,2013,10.50111,11.85094,10.50111,15.94411,0,,,
Bangladesh,1970,,46.48234,,,,,,
Bangladesh,1971,,42.97594,,,,,,
Bangladesh,1972,,47.0079,,,,,,
Bangladesh,1973,,50.04371,,,,,,
Bangladesh,1974,,51.55862,,,,,,
Bangladesh,1975,,50.692,,,,,,
Bangladesh,1976,,50.29924,,,,,,
Bangladesh,1977,,47.18294,,,,,,
Bangladesh,1978,,44.15567,,,,,,
Bangladesh,1979,,43.92033,,,,,,
Bangladesh,1980,,53.55663,,,,,,
Bangladesh,1981,,55.27225,,,,,,
Bangladesh,1983,,51.40402,,,,,,
Bangladesh,1984,,46.95204,,,,,,
Bangladesh,1985,,46.97363,,,,,,
Bangladesh,1986,,47.83636,,,,,,
Bangladesh,1987,,48.07506,,,,,,
Bangladesh,1988,,57.8659,,,,,,
Bangladesh,1989,,60.39131,,,,,,
Bangladesh,1990,,63.00499,,,,,,
Bangladesh,1997,,,,,,1.95247,,
Bangladesh,1999,,,,11.77023,47.63496,2.13282,18.12979,44.46281
Bangladesh,2000,,,,10.83255,43.13664,2.12508,20.49042,46.49041
Bangladesh,2001,,,,,37.45454,2.17193,18.58478,
Bangladesh,2002,,,,12.39432,40.66708,2.01715,15.6938,45.10525
Bangladesh,2003,,,,13.41698,33.86734,2.06939,16.68163,45.42799
Bangladesh,2004,,,,14.64826,43.97382,1.94014,15.95312,39.98727
Bangladesh,2005,,47.03943,,,,,,
Bangladesh,2006,8.99299,47.53901,8.99299,14.88731,43.12406,2.13129,17.33653,41.95689
Bangladesh,2007,9.04546,44.75494,9.04546,12.45678,31.94106,2.20222,18.1534,46.25168
Bangladesh,2008,8.51756,43.72919,8.51756,11.86964,30.83329,2.05457,17.81619,45.29479
Bangladesh,2009,7.7608,45.75844,7.7608,10.57854,24.48897,1.93942,14.02987,44.72804
Bangladesh,2010,,42.97476,,12.86936,,,,
Bangladesh,2011,,40.21148,,12.13091,17.43645,,,
Bangladesh,2012,,,,,,2.0458,14.6635,
Bangladesh,2013,,,,,,1.96616,13.82286,
Barbados,1978,,27.97392,,,,,,
Barbados,1979,,27.38779,,,,,,
Barbados,1983,,20.33311,,,,,,
Barbados,1984,,23.46773,,,,,,
Barbados,1985,,21.22519,,,,,,
Barbados,1989,,18.38658,,,,,,
Barbados,1990,,17.80025,,,,,,
Barbados,1992,,17.16806,,,,,,
Barbados,1999,10.39644,17.77204,10.39644,17.17245,52.42606,4.25458,13.14668,22.82903
Barbados,2000,13.89868,17.56999,13.89868,20.80923,41.81641,4.62159,13.97806,27.64804
Barbados,2001,19.16678,17.03586,19.16678,24.95369,57.79579,5.9389,17.25794,29.26084
Barbados,2002,17.58063,15.90347,17.58063,25.12404,,5.77131,15.91701,26.56135
Barbados,2003,19.1845,15.80411,19.1845,27.58162,,6.1233,15.66595,26.82197
Barbados,2004,19.60628,15.76766,19.60628,24.41081,,5.91066,15.38793,27.34454
Barbados,2005,18.98914,15.14568,18.98914,22.41466,,5.56433,15.39544,27.89376
Barbados,2007,,14.54218,,22.06972,37.12417,5.11607,15.21563,
Barbados,2008,22.71885,13.45642,22.71885,20.33984,,5.06121,13.42763,36.85655
Barbados,2009,,14.1425,,21.73374,31.24256,5.32773,13.84276,
Barbados,2010,,13.00746,,24.96685,40.34833,5.87482,15.56024,
Barbados,2011,,13.08663,,,,,,
Barbados,2012,,,,,,5.62441,13.68958,
Barbados,2013,,,,,,5.50356,12.15405,
Barbados,2014,,,,,,6.71179,14.16823,
Belarus,1992,,20.46535,,,,,,
Belarus,1993,,20.0981,,,,,,
Belarus,1994,,19.58642,,,,,,
Belarus,1995,,19.76087,,,,,,
Belarus,1998,,19.26959,,,,,,
Belarus,1999,,19.53285,,,,6.00001,,
Belarus,2000,,18.2068,,,,6.19662,,
Belarus,2001,,17.43863,,,,,,
Belarus,2002,,16.66112,,,,,,
Belarus,2003,,15.93862,,,,,,
Belarus,2004,,15.44266,,,27.03506,5.71226,12.84642,
Belarus,2005,,16.03553,,,27.34842,5.87103,12.91494,
Belarus,2006,,16.02405,,,28.64335,6.07696,12.69644,
Belarus,2007,,15.96701,,,17.86783,5.1521,10.74872,
Belarus,2008,,15.32719,,,,,,
Belarus,2009,,15.14091,,,15.55758,4.51672,9.78506,
Belarus,2010,,14.96616,,,15.46073,5.41013,12.86463,
Belarus,2011,,14.96367,,,13.56994,4.84382,14.03116,
Belarus,2012,,14.90909,,,14.73278,5.12106,13.18072,
Belarus,2013,,15.36216,,,15.62118,5.17594,12.30363,
Belarus,2014,,,,,,4.98752,12.44628,
Belgium,1971,,19.76149,,,,,,
Belgium,1974,,19.25364,,,,,,
Belgium,1976,,19.37154,,,,,,
Belgium,1977,,19.22805,,,,,,
Belgium,1978,,19.41801,,,,,,
Belgium,1979,,19.00156,,,,,,
Belgium,1980,,19.49122,,,,,,
Belgium,1981,,18.13735,,,,,,
Belgium,1982,,18.1932,,,,,,
Belgium,1984,,18.55194,,,,,,
Belgium,1985,,16.82338,,,,,,
Belgium,1986,,16.52609,,,,,,
Belgium,1993,,12.35322,,,,,,
Belgium,1994,,12.13049,,,,,,
Belgium,1996,,,,,,3.03222,,
Belgium,2000,,11.98281,,,,,,
Belgium,2001,17.78803,12.13166,17.78803,23.19709,37.39572,5.85421,12.0038,22.80042
Belgium,2002,17.95851,11.94293,17.95851,23.81383,36.45648,5.95818,12.15448,22.39651
Belgium,2003,19.26674,11.87883,19.26674,22.05297,35.41561,5.89272,11.75022,24.00258
Belgium,2004,19.26549,11.57307,19.26549,32.34431,33.91291,5.81384,12.01388,23.75672
Belgium,2005,19.33641,11.4904,19.33641,32.01963,33.70609,5.77514,11.3503,23.59974
Belgium,2006,19.78325,11.28317,19.78325,31.80737,34.34112,5.82776,12.22345,23.58402
Belgium,2007,19.93444,11.20271,19.93444,32.2854,34.22195,5.843,12.28268,23.51609
Belgium,2008,21.79532,11.179,21.79532,35.55988,35.65847,6.27367,12.69052,23.77865
Belgium,2009,21.50615,11.14094,21.50615,36.92269,36.43294,6.39845,12.02631,22.77616
Belgium,2010,22.44879,11.03429,22.44879,36.84314,34.77435,6.39667,12.22374,23.51662
Belgium,2011,22.29204,11.18924,22.29204,37.48773,33.44492,6.36516,11.91676,23.33822
Belgium,2012,23.07651,11.20289,23.07651,38.54418,33.32883,,,
Belgium,2013,,11.14292,,,,,,
Belize,1999,16.49787,23.5,16.49787,17.57748,,5.44439,18.89415,59.47878
Belize,2000,15.76312,23.31494,15.76312,15.87094,,5.02928,16.05444,60.54413
Belize,2001,,22.81694,,,,5.79918,18.30537,
Belize,2003,,20.75066,,,,5.20613,16.15851,
Belize,2004,11.91645,23.23186,11.91645,18.43419,34.13168,5.2994,16.82134,42.64609
Belize,2005,13.14644,23.62341,13.14644,19.65654,,,,
Belize,2006,13.53295,22.93853,13.53295,19.81782,,,,
Belize,2007,,22.88272,,,,,,
Belize,2008,14.81726,22.61592,14.81726,21.10301,25.90243,5.68789,19.60072,47.32667
Belize,2009,15.39968,22.63613,15.39968,22.52736,28.03126,6.10014,21.77003,45.26097
Belize,2010,17.43299,22.24335,17.43299,25.00653,24.64555,6.621,23.05208,46.05287
Belize,2011,,21.89921,,,,,,
Belize,2012,14.3967,21.56275,14.3967,22.13856,22.66188,,,
Belize,2013,,22.57321,,,,6.21729,22.91612,40.04288
Benin,1971,,41.36824,,,,,,
Benin,1972,,44.25986,,,,,,
Benin,1973,,47.28752,,,,,,
Benin,1974,,45.79663,,,,,,
Benin,1975,,51.83347,,,,,,
Benin,1976,,53.42928,,,,,,
Benin,1977,,48.33616,,,,,,
Benin,1978,,46.41922,,,,,,
Benin,1979,,56.04299,,,,,,
Benin,1980,,54.58195,,,,,,
Benin,1981,,47.52639,,,,,,
Benin,1982,,38.94586,,,,,,
Benin,1983,,37.76215,,,,,,
Benin,1984,,35.28652,,,,,,
Benin,1985,,33.47894,,,,,,
Benin,1986,,33.01836,,,,,,
Benin,1987,,33.32516,,,,,,
Benin,1988,,33.43122,,,,,,
Benin,1989,,34.9071,,,,,,
Benin,1990,,30.54641,,,,,,
